POINT,ミーゼス応力,最大主応力(σ1),中間主応力(σ2),最小主応力(σ3),トレスカ応力,最大主歪み
1842,7.27E-01,1.13E-01,0.00E+00,-6.12E-01,7.84E-01,4.51E-06
1843,9.14E-01,1.16E-01,0.00E+00,-7.92E-01,1.00E+00,4.87E-06
1844,6.63E-01,6.15E-01,0.00E+00,-7.48E-02,7.13E-01,1.76E-05
1845,8.00E-01,4.83E-01,0.00E+00,-3.29E-01,8.55E-01,1.30E-05
1846,5.04E-01,2.14E-01,0.00E+00,-2.99E-01,5.48E-01,2.28E-06
1847,5.54E-01,4.17E-02,0.00E+00,-4.78E-01,6.04E-01,-3.76E-06
1848,6.31E-01,-1.13E-02,0.00E+00,-6.31E-01,6.67E-01,-2.92E-06
1849,5.48E-01,3.95E-01,0.00E+00,-1.43E-01,5.98E-01,9.77E-06
1850,2.52E-01,-6.87E-02,0.00E+00,-2.79E-01,2.79E-01,8.43E-07
1851,1.70E-01,1.84E-01,0.00E+00,3.85E-02,1.84E-01,2.49E-06
1852,4.42E-01,3.37E-01,0.00E+00,-1.59E-01,4.96E-01,3.78E-06
1853,4.84E-01,4.21E-01,0.00E+00,-1.01E-01,5.22E-01,6.49E-06
1854,6.35E-01,6.08E-01,0.00E+00,-4.55E-02,6.59E-01,9.53E-06
1855,6.79E-01,3.78E-01,0.00E+00,-3.82E-01,7.60E-01,7.51E-06
1856,6.74E-01,3.83E-01,0.00E+00,-3.86E-01,7.69E-01,7.81E-06
1857,6.75E-01,3.82E-01,0.00E+00,-3.91E-01,7.73E-01,6.46E-06
1858,5.40E-01,2.69E-01,0.00E+00,-3.34E-01,6.03E-01,6.04E-06
1859,6.34E-01,1.44E-01,0.00E+00,-5.46E-01,6.90E-01,4.63E-06
1860,8.12E-01,3.96E-02,0.00E+00,-7.86E-01,8.53E-01,5.30E-06
1861,2.46E-01,1.29E-01,0.00E+00,-1.30E-01,2.61E-01,2.46E-06
1862,2.14E-01,1.15E-01,0.00E+00,-1.16E-01,2.32E-01,2.01E-06
1863,1.58E-01,7.95E-02,0.00E+00,-8.06E-02,1.72E-01,1.19E-06
1864,1.41E-01,6.63E-02,0.00E+00,-6.94E-02,1.45E-01,1.30E-06
1865,4.68E-01,3.71E-01,0.00E+00,-1.53E-01,5.24E-01,9.70E-06
1866,4.93E-01,2.63E-01,0.00E+00,-2.57E-01,5.49E-01,3.30E-06
1867,5.94E+00,-1.57E+00,0.00E+00,-6.26E+00,6.52E+00,-1.80E-05
1868,5.32E+00,2.21E-02,0.00E+00,-4.96E+00,5.85E+00,2.66E-05
1869,4.73E+00,3.46E+00,0.00E+00,-1.24E+00,5.09E+00,4.62E-05
1870,4.19E+00,3.68E+00,0.00E+00,7.48E-02,4.69E+00,4.98E-05
1871,6.38E+00,3.96E+00,0.00E+00,-7.05E-01,7.09E+00,6.56E-05
1872,6.52E+00,3.58E+00,0.00E+00,-5.21E-01,7.23E+00,7.36E-05
1873,3.61E+00,4.06E+00,0.00E+00,1.31E+00,4.06E+00,4.19E-05
1874,3.10E+00,3.52E+00,0.00E+00,1.47E+00,3.52E+00,4.24E-05
1875,2.68E+00,2.85E+00,0.00E+00,1.48E+00,2.99E+00,3.52E-05
1876,2.53E+00,2.75E+00,0.00E+00,1.21E+00,2.87E+00,3.09E-05
1877,2.24E+00,2.49E+00,0.00E+00,9.84E-01,2.55E+00,2.86E-05
1878,1.96E+00,2.20E+00,0.00E+00,8.06E-01,2.22E+00,2.55E-05
1879,1.71E+00,1.93E+00,0.00E+00,6.36E-01,1.93E+00,2.32E-05
1880,1.59E+00,1.76E+00,0.00E+00,4.54E-01,1.76E+00,2.21E-05
1881,1.43E+00,1.53E+00,0.00E+00,2.40E-01,1.54E+00,2.16E-05
1882,1.24E+00,1.26E+00,0.00E+00,7.79E-02,1.31E+00,1.89E-05
1883,1.44E+00,1.38E+00,0.00E+00,-6.76E-02,1.51E+00,2.33E-05
1884,1.59E+00,1.54E+00,0.00E+00,-4.42E-03,1.70E+00,2.46E-05
1885,1.71E+00,1.68E+00,0.00E+00,8.79E-02,1.90E+00,2.50E-05
1886,1.82E+00,1.76E+00,0.00E+00,1.79E-01,2.05E+00,2.55E-05
1887,2.04E+00,1.99E+00,0.00E+00,3.00E-01,2.32E+00,2.76E-05
1888,2.28E+00,2.24E+00,0.00E+00,5.03E-01,2.58E+00,3.07E-05
1889,2.51E+00,2.53E+00,0.00E+00,8.42E-01,2.82E+00,3.49E-05
1890,2.70E+00,2.79E+00,0.00E+00,1.29E+00,2.94E+00,4.47E-05
1891,3.46E+00,3.62E+00,0.00E+00,1.12E+00,3.88E+00,6.20E-05
1892,3.70E+00,3.27E+00,0.00E+00,6.26E-02,4.15E+00,5.77E-05
1893,3.74E+00,4.22E+00,0.00E+00,2.53E+00,4.22E+00,8.02E-05
1894,2.76E+00,-3.16E-01,0.00E+00,-2.24E+00,3.13E+00,3.07E-05
